crop,sow_type,sow_date,sow_type_med,sow_type_cell,sow_no_cellrowhill,sow_no_seed_per,sow_no_germ_per,sow_to_germ_days,sow_no_thin_per,sow_heatmat,sow_heatmat_temp,sow_light_hrs,sow_light_type,sow_fert_date_1,sow_fert_type_1,sow_fert_dose_1,sow_fert_date_2,sow_fert_type_2,sow_fert_dose_2,sow_fert_date_3,sow_fert_type_3,sow_fert_dose_3,sow_fert_date_4,sow_fert_type_4,sow_fert_dose_4,transp_harden_date_srt,transp_harden_date_end,transp_date_1,transp_med_1,transp_no_int_1,transp_no_end_1,transp_date_2,transp_med_2,transp_no_int_2,transp_no_end_2,fert_code_1,fert_date_1,fert_amnt_per_1,fert_unit_1,fert_code_2,fert_date_2,fert_amnt_per_2,fert_unit_2,fert_code_3,fert_date_3,fert_amnt_per_3,fert_unit_3,path_code_1,path_date_1,path_no_1,path_ipm_type_1_1,path_ipm_date_1_1,path_ipm_type_1_2,path_ipm_date_1_2,path_ipm_type_1_3,path_ipm_date_1_3,path_code_2,path_date_2,path_no_2,path_ipm_type_2_1,path_ipm_date_2_1,path_ipm_type_2_2,path_ipm_date_2_2,path_ipm_type_2_3,path_ipm_date_2_3,notes
sweet corn- country gentleman,outdoor seed,2023-05-31,raised bed- ground,,2,50,45,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,garden tone,2023-07-06,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sweet corn- ornamental- glas gm,outdoor seed,2023-05-31,raised bed- ground,,2,50,45,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,garden tone,2023-07-06,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sunflower- mammoth,outdoor seed,2023-05-31,raised bed- ground,,1,75,50,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 1 12.5 foot row marked for 25 plants each (12 x 13 alternate at 1 foot)- three seeds per location (75 seeds total)
carrot- touchon,outdoor seed,2023-06-01,raised bed- ground,,3,35,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 3 12.5 + 2.5  foot rows
bean- fin de bagnol,outdoor seed,2023-06-01,raised bed- ground,,1,50,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
pumpkin- ct field,outdoor seed,2023-06-01,raised bed- ground,,4,6,5,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 4 hills of 6 seeds each within one 12.5 foot bed area
sweet corn- country gentleman,outdoor seed,2023-06-10,raised bed- ground,,2,50,45,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sweet corn- ornamental- glas gm,outdoor seed,2023-06-10,raised bed- ground,,2,50,45,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sunflower- mammoth,outdoor seed,2023-06-15,raised bed- ground,,1,75,45,10,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 1 12.5 foot row marked for 25 plants each (12 x 13 alternate at 1 foot)- three seeds per location (75 seeds total)
bean- fin de bagnol,outdoor seed,2023-06-10,raised bed- ground,,1,50,9,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
pumpkin- ct field,outdoor seed,2023-06-10,raised bed- ground,,4,6,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 4 hills of 6 seeds each within one 12.5 foot bed area
