sale_date,sale_location,sale_location_stall_no,sale_location_stall_spec,sale_crop,sale_amnt,sale_unit,sale_value_usd,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- jalapeno- early,20,unit,5,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- jalapeno- early,8,unit,2,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",carrot- touchon,9,unit,3,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",carrot- touchon,9,unit,3,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- jalapeno- early,55,unit,10,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",tomato- amish,2,pound,4,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- sweet- ca wonder,4,unit,2,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",sweet corn- country gentleman,2,unit,1,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",tomato- roma,2,pound,4,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",eggplant- black beauty,1,unit,3,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",tomato- amish,2.5,pound,5,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",tomato- amish,1,pound,2,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- sweet banana,4,unit,1,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- anaheim,4,unit,1,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- sweet- ca wonder,7,unit,3,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",eggplant- black beauty,1,unit,3,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",tomato- amish,1,pound,2,,,
2023-08-26,New Carlisle Farmers Market,5,"outside, north",pepper- sweet banana,10,unit,2,,,
2023-08-30,The Brosey Farm: farm stand,,roadside,,,,9,,,
